amount,transaction_type,transaction_time,sender_balance,receiver_balance,location,device_type,previous_transactions,new_device,unusual_location,Fraud
875.88,Credit Card,13,42270.02,73361.44,Same City,Desktop,484,0,0,0
525.74,Debit Card,13,25807.14,735.3,Same City,Desktop,163,0,0,0
227.95,Credit Card,10,27344.19,15414.5,Same City,Desktop,318,0,0,0
434.66,Debit Card,19,17361.27,14284.2,Same City,Tablet,74,0,0,0
15087.53,Credit Card,14,6225.75,14923.02,Different Country,Tablet,3,1,1,1
2557.75,Credit Card,20,43894.63,70149.91,Same City,Tablet,497,0,0,0
1357.36,Debit Card,8,41103.69,70708.65,Same City,Mobile,253,0,0,0
159.55,Debit Card,20,44646.56,37146.73,Same City,Tablet,494,0,0,0
278.2,Debit Card,18,5661.33,35489.77,Same City,Desktop,303,1,0,0
4094.48,Debit Card,7,26765.16,64357.77,Same City,Tablet,488,0,0,0
801.87,UPI,8,1352.89,35702.93,Different City,Mobile,493,0,1,0
4228.93,Net Banking,14,9340.33,385512.13,Different Country,Tablet,5,1,1,1
1176.21,Credit Card,12,4451.89,83137.35,Same City,Desktop,361,0,0,0
360.83,UPI,14,13501.35,41909.95,Different City,Tablet,239,0,0,0
1833.36,Debit Card,7,45406.46,76606.48,Same City,Tablet,339,0,0,0
3545.53,Net Banking,14,47413.84,24318.0,Same City,Mobile,52,0,0,0
371.84,UPI,21,30092.1,67910.23,Same City,Desktop,272,0,0,0
4959.85,Credit Card,19,15587.25,84162.2,Same City,Tablet,361,0,0,0
1849.8,Credit Card,22,34819.32,49819.57,Same City,Desktop,146,0,0,0
2667.87,Debit Card,8,31291.09,18483.84,Different City,Desktop,256,0,1,0
967.61,Net Banking,7,3061.01,36229.35,Same City,Desktop,215,0,0,0
401.18,Debit Card,18,41569.06,23503.13,Same City,Tablet,169,0,0,0
1302.24,Net Banking,18,17595.38,26951.19,Same City,Mobile,142,0,0,0
219.98,Credit Card,10,13755.22,37728.42,Same City,Mobile,66,0,0,0
5973.28,Credit Card,12,18767.42,36185.31,Same City,Mobile,359,1,0,0
7670.94,UPI,23,45801.21,93617.66,Same City,Tablet,399,0,0,0
2379.47,Net Banking,18,27011.1,47347.18,Different City,Mobile,48,0,1,0
1424.04,UPI,22,35157.63,5183.58,Same City,Desktop,433,0,0,0
1497.05,Credit Card,16,6944.93,44741.24,Same City,Tablet,11,0,0,0
1980.98,Credit Card,13,9424.43,29797.72,Same City,Desktop,333,0,0,0
917.89,Net Banking,6,40717.25,14138.36,Same City,Mobile,242,0,0,0
410.56,UPI,20,9549.91,68111.79,Same City,Mobile,234,0,0,0
1475.24,Net Banking,20,46895.84,75871.53,Same City,Tablet,133,0,0,0
279.89,Debit Card,10,18677.17,39091.74,Different City,Tablet,481,0,0,0
1530.98,Debit Card,8,7151.5,84645.23,Same City,Mobile,324,0,0,0
313.44,Net Banking,15,16958.52,85503.02,Same City,Mobile,77,0,0,0
549.75,Debit Card,17,3769.81,45894.05,Same City,Mobile,153,0,0,0
209.59,Credit Card,20,17592.26,34695.32,Same City,Tablet,411,0,0,0
2011.93,Credit Card,19,10114.16,67364.54,Same City,Desktop,300,0,0,0
271.57,Net Banking,17,19673.25,8058.08,Same City,Tablet,207,0,0,0
226.7,Credit Card,8,31412.73,63156.02,Same City,Tablet,498,0,0,0
606.4,Net Banking,11,35051.28,14055.3,Same City,Tablet,347,0,0,0
1937.17,Credit Card,19,15717.79,7941.94,Same City,Tablet,58,1,0,0
1172.61,Debit Card,15,48020.05,5225.79,Same City,Desktop,42,0,0,0
1083.28,UPI,12,4055.46,54952.89,Same City,Desktop,348,1,0,0
2657.74,Credit Card,17,25450.48,67478.63,Same City,Desktop,134,0,0,0
5212.37,Credit Card,6,27496.59,74236.99,Same City,Tablet,211,0,0,0
942.68,UPI,11,43306.43,89309.02,Same City,Tablet,12,0,0,0
810.64,UPI,13,21641.25,2400.5,Same City,Tablet,412,0,0,0
326.68,UPI,10,17223.23,13441.47,Same City,Mobile,56,0,0,0
1957.24,Debit Card,18,24730.67,84435.71,Same City,Tablet,163,0,0,0
2801.51,Net Banking,19,6364.27,8987.69,Same City,Desktop,472,0,0,0
757.78,UPI,15,23945.29,98098.74,Same City,Tablet,219,0,0,0
1578.09,Net Banking,9,50746.79,24160.13,Same City,Mobile,124,0,0,0
696.99,Debit Card,22,40148.88,51726.91,Same City,Mobile,412,0,0,0
303.99,Debit Card,14,21905.28,24871.43,Same City,Mobile,95,0,0,0
685.96,Credit Card,19,30433.08,38089.09,Different City,Mobile,48,0,1,0
586.59,Credit Card,21,43349.79,88255.99,Same City,Tablet,352,1,0,0
300.88,Net Banking,17,28598.64,77162.69,Same City,Mobile,431,0,0,0
1448.59,Debit Card,19,15611.66,18430.14,Same City,Mobile,103,1,0,0
790.24,Credit Card,12,41709.18,86073.06,Same City,Desktop,81,0,0,0
3438.61,Credit Card,18,15396.72,72821.63,Same City,Tablet,136,0,0,0
7640.49,UPI,9,12451.99,83151.83,Same City,Desktop,101,0,0,0
292.88,Net Banking,7,46936.03,86606.39,Same City,Desktop,371,0,0,0
1301.62,Net Banking,10,3658.46,32533.03,Same City,Mobile,391,0,0,0
1069.53,UPI,13,31421.55,76480.98,Same City,Mobile,32,0,0,0
268.72,Credit Card,7,30846.65,28068.32,Same City,Desktop,315,1,0,0
819.13,UPI,6,16936.88,52609.4,Different City,Mobile,287,0,0,0
11246.32,Debit Card,13,4666.83,35827.8,Different City,Tablet,2,1,1,1
404.08,Net Banking,11,37997.7,65695.52,Different City,Desktop,310,0,0,0
167.33,Debit Card,19,42711.0,20152.84,Same City,Desktop,323,0,0,0
1774.03,Debit Card,18,37165.24,15253.9,Same City,Tablet,490,1,0,0
37361.07,UPI,4,6374.02,402894.69,Same City,Desktop,4,1,1,1
586.21,UPI,21,22620.4,51046.01,Same City,Tablet,414,1,0,0
1642.1,Credit Card,21,33385.79,12626.47,Different City,Mobile,464,0,0,0
951.1,Debit Card,19,12460.38,67170.07,Same City,Tablet,220,0,0,0
206.73,Credit Card,17,46078.41,40659.05,Same City,Desktop,272,0,0,0
424.57,Debit Card,6,20604.64,88458.69,Same City,Tablet,492,0,0,0
682.77,Credit Card,21,26004.98,96401.74,Different City,Mobile,122,0,0,0
1912.62,UPI,7,4105.99,96848.88,Same City,Mobile,20,0,0,0
2252.41,UPI,20,35615.77,16269.97,Different City,Mobile,194,0,1,0
4931.61,UPI,12,20746.04,9664.48,Different City,Mobile,256,0,1,0
616.15,Debit Card,16,1673.84,25981.32,Same City,Mobile,48,0,0,0
427.28,Debit Card,16,18340.7,63474.41,Different Country,Mobile,491,0,0,0
5376.75,UPI,8,23681.39,64096.55,Same City,Mobile,326,0,0,0
2564.71,Credit Card,15,34048.96,87747.2,Same City,Desktop,252,0,0,0
612.97,UPI,6,12023.12,35499.63,Same City,Mobile,450,0,0,0
491.19,Debit Card,14,3852.96,48757.12,Same City,Desktop,446,0,0,0
934.37,Credit Card,16,5380.3,61706.65,Same City,Desktop,121,0,0,0
4852.48,Credit Card,9,52431.87,83849.18,Different City,Desktop,371,0,1,0
366.02,Credit Card,23,11379.64,18283.78,Same City,Mobile,439,0,0,0
333.82,Net Banking,19,36022.84,19921.53,Same City,Tablet,283,0,0,0
2097.04,UPI,21,18510.93,14888.81,Different City,Desktop,411,0,0,0
543.45,UPI,7,12017.41,42710.78,Same City,Desktop,419,0,0,0
372.51,UPI,22,10066.18,30946.95,Different City,Desktop,82,1,0,0
717.95,Net Banking,21,35949.12,21745.29,Same City,Desktop,318,0,0,0
4825.47,Credit Card,6,29893.41,69088.4,Different City,Mobile,13,1,1,0
1642.89,Net Banking,11,7042.96,77587.73,Different City,Tablet,319,0,1,0
28413.95,Net Banking,21,9517.02,166663.22,Different Country,Tablet,4,1,1,1
3607.05,Net Banking,17,30006.42,42608.34,Same City,Tablet,53,0,0,0
1062.69,UPI,18,16253.42,56340.84,Different City,Desktop,281,1,0,0
1552.44,Net Banking,17,2570.13,91429.88,Same City,Mobile,303,0,0,0
409.72,Net Banking,16,42572.7,44588.66,Different City,Mobile,110,1,0,0
795.22,Net Banking,8,31744.3,10112.27,Same City,Desktop,413,0,0,0
1748.78,Net Banking,9,46976.33,81740.78,Different City,Mobile,43,0,0,0
268.15,Debit Card,22,31513.18,40941.17,Same City,Mobile,382,0,0,0
4254.1,UPI,13,16918.87,34569.6,Same City,Desktop,278,0,0,0
1846.93,Net Banking,11,38075.99,92880.8,Same City,Mobile,211,0,0,0
180.57,Debit Card,10,8721.75,97745.66,Same City,Mobile,338,0,0,0
6345.34,Net Banking,7,24156.08,5198.94,Same City,Mobile,483,0,0,0
5310.56,Credit Card,13,36978.39,93202.81,Same City,Tablet,457,0,0,0
1658.72,Debit Card,7,2938.29,64197.15,Same City,Tablet,411,0,0,0
1894.54,Net Banking,11,9078.94,34794.14,Same City,Tablet,381,1,0,0
603.35,Credit Card,7,30176.18,66101.43,Same City,Tablet,326,0,0,0
7505.91,UPI,15,29447.98,27675.41,Same City,Mobile,305,0,0,0
8447.15,Debit Card,3,4864.83,173682.32,Same City,Desktop,0,1,1,1
423.13,UPI,12,38714.76,25302.63,Same City,Mobile,103,1,0,0
5019.1,UPI,9,42895.8,5560.55,Different City,Mobile,310,0,0,0
2041.77,Debit Card,9,49249.47,14879.6,Same City,Desktop,254,0,0,0
870.56,UPI,6,32419.9,24838.36,Same City,Mobile,361,0,0,0
4007.3,Debit Card,7,21326.98,3010.39,Same City,Tablet,337,0,0,0
2595.25,Net Banking,15,6618.72,33091.48,Different City,Tablet,132,0,1,0
5161.69,Net Banking,12,5329.24,29980.05,Same City,Desktop,412,0,0,0
1399.4,Debit Card,9,34159.51,27325.95,Same City,Tablet,211,0,0,0
268.4,Net Banking,23,32503.98,40873.42,Same City,Tablet,304,0,0,0
2039.93,Net Banking,15,45699.93,73222.49,Same City,Tablet,40,0,0,0
1919.44,Net Banking,21,36564.04,84919.57,Same City,Desktop,320,0,0,0
3321.54,Credit Card,19,13494.03,67343.24,Same City,Mobile,239,0,0,0
1139.11,Debit Card,8,11196.28,68022.82,Same City,Tablet,398,1,0,0
1209.63,Credit Card,17,39994.31,23442.56,Same City,Desktop,194,0,0,0
601.71,Debit Card,16,47619.2,57547.42,Different City,Mobile,152,0,0,0
4774.45,Net Banking,19,39042.24,21208.12,Same City,Mobile,145,0,0,0
6892.46,UPI,23,7611.42,46876.8,Different City,Tablet,257,0,1,0
5819.8,Net Banking,20,12948.57,17638.7,Same City,Desktop,267,0,0,0
425.92,Credit Card,12,32536.99,25982.81,Different Country,Desktop,382,0,0,0
1187.49,Credit Card,21,26959.11,8505.64,Same City,Desktop,454,0,0,0
4539.19,Net Banking,17,39370.62,15389.59,Different City,Mobile,158,1,1,0
4151.97,Debit Card,12,8322.56,8778.82,Same City,Mobile,314,0,0,0
278.13,Credit Card,10,23304.52,78501.65,Same City,Desktop,200,0,0,0
690.25,Net Banking,18,40757.09,18015.86,Different City,Desktop,390,0,0,0
993.17,UPI,9,42628.11,80564.88,Same City,Tablet,375,0,0,0
167.35,Debit Card,9,35304.44,17169.39,Different City,Mobile,130,0,1,0
463.55,Debit Card,16,9040.61,19497.52,Same City,Mobile,140,0,0,0
855.24,Net Banking,17,48473.21,53305.53,Same City,Tablet,53,0,0,0
6066.96,Debit Card,23,10107.52,23951.02,Different City,Tablet,387,0,1,0
2178.34,UPI,16,24065.39,58008.88,Same City,Desktop,223,0,0,0
2036.29,Debit Card,7,41946.74,86436.63,Same City,Mobile,495,0,0,0
833031.4,Debit Card,3,2383.37,399037.99,Different City,Desktop,3,1,1,1
1435.54,UPI,10,40219.74,34259.11,Different City,Mobile,56,0,1,0
2836.78,Net Banking,10,37104.87,16261.69,Same City,Desktop,186,0,0,0
289.13,UPI,20,1716.89,73522.85,Different City,Mobile,334,0,1,0
993.09,Credit Card,14,20933.05,27421.52,Same City,Tablet,401,0,0,0
7028.32,Credit Card,22,34746.56,57028.69,Same City,Desktop,108,0,0,0
558.39,Credit Card,20,22607.19,64395.66,Same City,Tablet,279,0,0,0
1916.65,Debit Card,15,24468.84,69290.89,Different City,Desktop,372,0,0,0
1180.97,Credit Card,9,44312.92,94952.06,Different City,Tablet,30,0,0,0
1349.92,Credit Card,22,23534.53,4836.27,Different City,Mobile,365,0,0,0
231.39,Credit Card,10,26925.98,32433.38,Same City,Tablet,14,0,0,0
1261.88,Credit Card,18,47023.41,25116.93,Same City,Mobile,108,1,0,0
630.86,Credit Card,20,760.7,30781.92,Same City,Tablet,425,0,0,0
321.9,Net Banking,14,49705.61,4010.92,Same City,Mobile,360,0,0,0
3210.98,Credit Card,6,37099.48,68267.12,Same City,Tablet,453,0,0,0
1515.02,Debit Card,23,32467.44,78146.21,Same City,Desktop,68,0,0,0
719.83,Net Banking,7,18725.47,87720.05,Same City,Desktop,481,1,0,0
2023.27,Debit Card,21,14173.94,4035.08,Same City,Tablet,234,0,0,0
4065.09,Debit Card,21,34319.88,63001.87,Same City,Desktop,162,0,0,0
1418.28,UPI,23,2178.4,51178.05,Same City,Tablet,97,0,0,0
1382.22,Net Banking,7,6643.58,40202.72,Same City,Tablet,162,0,0,0
2748.79,Debit Card,18,34650.17,7069.66,Same City,Mobile,155,1,0,0
931.88,Credit Card,17,14384.75,83548.02,Same City,Tablet,14,0,0,0
2669.46,UPI,7,46187.39,2126.94,Same City,Tablet,180,0,0,0
25643.79,Debit Card,18,42432.47,51931.27,Same City,Tablet,382,0,0,0
1071.11,Credit Card,6,5793.12,74838.43,Same City,Tablet,154,0,0,0
120.08,UPI,22,2410.69,16574.98,Same City,Mobile,462,1,0,0
1451.91,Debit Card,7,43274.18,82138.84,Different City,Tablet,257,0,0,0
524.24,Credit Card,17,34711.64,93256.67,Same City,Tablet,430,0,0,0
389.46,Net Banking,9,25609.98,69039.48,Same City,Tablet,79,0,0,0
623.75,UPI,22,29664.94,56148.46,Same City,Tablet,419,0,0,0
783.38,UPI,18,49649.84,24235.37,Same City,Mobile,374,0,0,0
279.54,Credit Card,18,24506.09,42914.95,Same City,Tablet,315,0,0,0
935.38,Debit Card,11,19606.83,66166.73,Same City,Mobile,257,0,0,0
2026.71,Debit Card,12,11334.31,20934.93,Same City,Mobile,447,0,0,0
1678.89,Net Banking,22,39568.67,16167.14,Same City,Tablet,141,1,0,0
744.62,Net Banking,9,15866.82,50263.12,Same City,Mobile,150,0,0,0
2248.88,Credit Card,8,8613.84,1694.77,Same City,Desktop,66,0,0,0
1831.89,Debit Card,9,39554.59,80490.68,Same City,Mobile,262,0,0,0
212.05,Credit Card,21,3198.49,95778.98,Same City,Desktop,489,0,0,0
270.81,Debit Card,18,5449.76,15285.91,Different Country,Tablet,160,0,1,0
553.01,Debit Card,23,28800.3,35857.85,Same City,Tablet,484,0,0,0
516.9,Credit Card,19,26199.02,29348.88,Same City,Desktop,57,0,0,0
1695.91,Credit Card,17,30770.11,93593.72,Same City,Mobile,374,0,0,0
882.11,Credit Card,14,38450.58,75454.29,Same City,Mobile,293,0,0,0
2811.04,Net Banking,17,26559.71,71639.71,Same City,Desktop,138,0,0,0
980.92,Debit Card,8,9232.92,18445.91,Same City,Tablet,329,0,0,0
2901.84,UPI,7,36777.77,6409.47,Same City,Mobile,229,0,0,0
7256.64,Credit Card,15,7199.97,59571.15,Different Country,Desktop,1,1,1,1
3743.1,Credit Card,20,53450.65,66183.92,Same City,Mobile,331,0,0,0
2058.29,Debit Card,14,39613.97,80683.47,Same City,Tablet,108,0,0,0
69204.47,UPI,4,6195.83,335110.27,Different Country,Tablet,3,1,1,1
996.19,Debit Card,22,6415.44,7513.78,Different City,Mobile,138,0,1,0
533.87,Net Banking,8,14652.5,54269.61,Same City,Mobile,88,0,0,0
1331.54,UPI,23,4792.34,58217.05,Different City,Mobile,303,0,0,0
333.97,UPI,7,32781.99,17238.64,Same City,Desktop,459,0,0,0
901.13,Debit Card,21,27506.49,93660.57,Different City,Mobile,176,0,1,0
1037.38,Credit Card,12,25719.02,32875.16,Same City,Tablet,458,0,0,0
544.85,Credit Card,6,12570.83,28128.46,Same City,Desktop,308,1,0,0
838.08,UPI,11,5197.03,99687.43,Same City,Tablet,85,0,0,0
1652.13,Net Banking,20,35221.67,56044.06,Same City,Desktop,391,0,0,0
3622.96,Net Banking,9,6005.49,87153.68,Same City,Tablet,308,0,0,0
3305.36,Net Banking,14,24623.51,2246.93,Same City,Mobile,48,0,0,0
702.09,Debit Card,23,17077.99,46855.7,Same City,Desktop,254,0,0,0
1225.83,Debit Card,7,40342.19,76585.86,Different City,Mobile,111,0,0,0
1657.03,Debit Card,6,6431.4,36771.58,Same City,Desktop,101,0,0,0
3374.87,Debit Card,7,38032.24,13443.51,Different City,Mobile,337,0,0,0
409.23,Debit Card,18,10104.45,4086.86,Different City,Desktop,65,0,0,0
312.85,Net Banking,16,23563.08,97200.53,Same City,Tablet,23,0,0,0
486.68,UPI,19,39519.29,56389.29,Same City,Tablet,36,0,0,0
2756.32,Net Banking,20,27683.56,20468.01,Same City,Tablet,268,1,0,0
1017.97,Net Banking,23,10356.1,54190.09,Same City,Desktop,257,0,0,0
332.22,Debit Card,16,15143.6,35454.82,Same City,Tablet,230,0,0,0
381.8,Debit Card,6,39245.19,67341.97,Same City,Tablet,474,0,0,0
878.97,Debit Card,10,45236.52,64581.08,Same City,Mobile,495,0,0,0
804.96,Debit Card,22,40953.99,57204.86,Same City,Mobile,276,1,0,0
949.48,Debit Card,15,31966.92,65020.11,Same City,Mobile,247,0,0,0
2240.85,UPI,20,22460.92,83364.4,Same City,Desktop,300,0,0,0
10001.83,Net Banking,12,39766.2,49676.69,Different Country,Mobile,461,0,0,0
3707.8,Net Banking,12,21920.64,87927.96,Same City,Tablet,25,0,0,0
1075.98,Net Banking,14,1742.53,46866.06,Same City,Tablet,233,0,0,0
1625.36,Credit Card,8,18663.92,81482.51,Same City,Mobile,121,0,0,0
2733.87,Net Banking,23,41596.11,84754.76,Different City,Desktop,423,0,0,0
264.1,UPI,23,16109.21,10662.36,Same City,Desktop,72,1,0,0
16204.33,UPI,18,29958.99,48783.43,Same City,Tablet,30,0,0,0
25693.89,UPI,9,523.33,393595.82,Different City,Mobile,5,1,1,1
1041.7,Credit Card,16,15402.3,20322.31,Same City,Mobile,89,0,0,0
701.69,Debit Card,20,9259.38,55680.13,Same City,Tablet,119,0,0,0
1382.77,Debit Card,13,17761.17,75619.22,Different City,Mobile,158,0,0,0
591.55,Debit Card,20,17438.51,97852.55,Same City,Mobile,344,0,0,0
327.18,Credit Card,17,4625.15,39310.39,Same City,Desktop,430,0,0,0
1642.63,Net Banking,7,19887.75,97178.21,Same City,Mobile,209,0,0,0
2782.99,Debit Card,22,20770.43,11586.91,Same City,Tablet,477,0,0,0
3926.06,Credit Card,22,45421.24,70938.88,Same City,Tablet,397,0,0,0
347.84,UPI,8,16061.92,27109.63,Same City,Desktop,198,0,0,0
753.84,Credit Card,8,27297.88,16136.74,Different City,Mobile,144,0,0,0
243.97,UPI,23,45725.76,72214.32,Same City,Mobile,57,0,0,0
3051.93,UPI,21,8042.51,4406.59,Different City,Mobile,184,0,0,0
921.17,UPI,15,46657.15,43402.1,Same City,Tablet,175,0,0,0
1574.03,Credit Card,14,40145.29,49379.56,Same City,Tablet,226,0,0,0
1319.72,Debit Card,22,42501.05,55619.07,Same City,Mobile,171,0,0,0
1306.64,UPI,18,11080.41,85881.68,Different City,Mobile,176,0,0,0
785.19,Credit Card,19,49637.84,10189.31,Same City,Desktop,189,0,0,0
11948.63,Debit Card,15,44241.62,1696.91,Same City,Tablet,276,0,0,0
2334.12,UPI,19,48809.98,55676.29,Same City,Tablet,491,0,0,0
885.86,Net Banking,12,3888.23,99486.63,Same City,Tablet,399,0,0,0
333.88,Net Banking,9,9617.71,75645.11,Same City,Tablet,302,0,0,0
1693.87,Net Banking,23,45028.39,5961.73,Same City,Tablet,343,1,0,0
1177.62,Credit Card,10,11955.95,28328.44,Same City,Desktop,191,0,0,0
811.71,Net Banking,21,38700.13,89796.46,Same City,Desktop,460,0,0,0
463.87,UPI,8,35095.23,45792.9,Same City,Mobile,101,0,0,0
791.0,Debit Card,23,9088.91,78316.14,Same City,Tablet,116,0,0,0
297.53,Debit Card,11,4183.11,12887.97,Same City,Desktop,422,0,0,0
4732.44,Credit Card,8,25112.63,87983.77,Same City,Tablet,66,0,0,0
685.99,Net Banking,9,39195.59,81093.52,Same City,Tablet,382,0,0,0
1319.07,Net Banking,23,49148.49,73750.84,Same City,Desktop,477,0,0,0
1194.99,Debit Card,20,48256.92,87631.94,Same City,Mobile,253,0,0,0
1278.86,UPI,7,8369.05,51832.97,Same City,Desktop,322,0,0,0
541.85,Net Banking,17,28700.46,95762.53,Different City,Desktop,415,0,0,0
3718.34,Net Banking,7,9723.32,40990.49,Same City,Desktop,363,0,0,0
526.88,Net Banking,7,37128.55,82447.15,Same City,Desktop,246,0,0,0
409.53,UPI,11,2328.94,5274.4,Same City,Tablet,369,0,0,0
1507.97,Credit Card,18,46958.41,76040.01,Different City,Mobile,99,0,1,0
21184.36,UPI,0,3525.29,364114.95,Different City,Tablet,0,1,1,1
9604.02,UPI,12,38192.28,33242.67,Different City,Mobile,102,0,1,0
4611.62,UPI,7,41077.64,32353.04,Same City,Tablet,227,0,0,0
636.44,Net Banking,14,6300.9,51586.19,Same City,Mobile,10,0,0,0
1372.09,Net Banking,7,5154.54,55385.43,Same City,Tablet,77,0,0,0
901.03,Debit Card,13,43543.15,93796.52,Different City,Tablet,90,0,1,0
9353.21,Net Banking,10,9207.71,484525.37,Different City,Desktop,4,1,1,1
4902.16,Credit Card,8,13058.91,47173.98,Same City,Tablet,43,0,0,0
1957.91,UPI,8,6020.3,73149.65,Different City,Tablet,352,0,1,0
1414.34,UPI,21,11575.54,16365.59,Same City,Mobile,76,0,0,0
5188.3,UPI,17,47112.23,80281.09,Different City,Tablet,269,0,1,0
229.34,UPI,22,16448.4,89791.92,Same City,Desktop,254,0,0,0
662.37,Debit Card,17,7142.92,76554.68,Same City,Mobile,404,0,0,0
3706.93,Debit Card,17,22139.73,8701.72,Same City,Desktop,286,0,0,0
257.75,Net Banking,17,8522.58,79480.95,Different Country,Desktop,239,0,1,0
1116.12,Credit Card,8,36464.08,34557.96,Same City,Mobile,356,0,0,0
2834.43,Debit Card,6,29134.39,70727.89,Same City,Mobile,423,0,0,0
2294.95,Debit Card,12,6810.73,19598.29,Same City,Desktop,462,0,0,0
236.49,Credit Card,11,6003.01,67157.32,Same City,Tablet,455,0,0,0
1090.55,Credit Card,23,31292.5,22726.11,Same City,Tablet,187,0,0,0
1493.43,Net Banking,8,31051.78,50836.05,Same City,Mobile,160,1,0,0
965.21,Net Banking,14,26599.41,48329.43,Same City,Mobile,372,1,0,0
2575.96,Credit Card,14,50625.88,53593.51,Same City,Mobile,417,0,0,0
1617.08,Credit Card,16,36505.68,8322.31,Same City,Desktop,266,0,0,0
562.23,Debit Card,11,4700.1,40298.02,Same City,Tablet,409,0,0,0
102.34,Debit Card,18,5527.26,64955.6,Same City,Desktop,394,0,0,0
1398.29,UPI,11,24703.6,22697.85,Different City,Mobile,59,1,1,0
516.25,Debit Card,18,26176.12,68022.78,Same City,Mobile,339,0,0,0
428.66,Debit Card,16,32505.89,21603.82,Same City,Desktop,14,0,0,0
594.8,Credit Card,22,7682.0,27681.43,Same City,Mobile,229,0,0,0
368.63,UPI,10,20676.56,99879.29,Same City,Tablet,374,0,0,0
171.07,UPI,22,39801.41,67636.11,Same City,Desktop,356,0,0,0
435.18,Debit Card,11,21629.34,34652.42,Same City,Mobile,113,1,0,0
