transaction_id,amount,transaction_type,transaction_hour,day_of_week,sender_balance,receiver_balance,location,device_type,previous_transaction_count,new_device,unusual_location,transactions_last_hour,amount_to_balance_ratio,is_fraud,log_amount,balance_diff,is_night,is_weekend
TX10642,944.15,Bank Transfer,9,5,17586.37,729.12,Delhi,Mobile,97,0,0,1,0.0537,0,6.851343645056174,16857.25,0,1
TXF20267,7021.7,Wallet,12,0,98548.06,1252.73,Pune,Desktop,30,1,0,16,0.0713,1,8.856903038458935,97295.33,0,0
TX10501,378.05,E-commerce,17,6,55981.37,15345.66,Mumbai,Mobile,138,0,0,4,0.0068,0,5.937668122502313,40635.71000000001,0,1
TX14066,2043.03,E-commerce,20,1,95267.35,25684.89,Pune,Desktop,199,0,0,4,0.0214,0,7.622678628319606,69582.46,0,0
TX10333,703.18,Bank Transfer,15,1,6958.53,48458.22,Mumbai,Desktop,53,0,0,1,0.1011,0,6.557034005295199,-41499.69,0,0
TXF20184,33853.34,Wallet,9,2,149117.77,970.81,Mumbai,Laptop,24,0,1,3,0.227,1,10.429822482824976,148146.96,0,0
TX10486,1322.17,Card,19,2,89390.04,32578.78,Delhi,Mobile,167,0,0,1,0.0148,0,7.187785651702853,56811.259999999995,0,0
TX11962,1934.26,UPI,14,1,7188.51,17676.33,Delhi,Tablet,122,0,0,1,0.2691,0,7.56799696336252,-10487.820000000002,0,0
TX10393,1831.1,Card,15,3,18995.62,5317.94,Chennai,Desktop,81,0,0,1,0.0964,0,7.513218128897199,13677.68,0,0
TXF20342,134521.71,UPI,1,6,208350.39,2859.91,Hyderabad,Laptop,25,1,1,6,0.6457,1,11.809488311354524,205490.48,1,1
TXF20366,63651.58,UPI,0,0,245402.93,2248.31,Bengaluru,Mobile,7,1,1,5,0.2594,1,11.061195137335314,243154.62,1,0
TX11755,528.35,Wallet,20,6,13995.23,32207.1,Delhi,Tablet,86,0,0,1,0.0378,0,6.271649838789389,-18211.87,0,1
TX12515,2383.06,E-commerce,18,2,40473.84,15902.55,Delhi,Mobile,148,0,0,3,0.0589,0,7.776560195653772,24571.289999999997,0,0
TX13585,452.42,Card,15,1,15716.77,31838.41,Pune,Mobile,146,0,0,2,0.0288,0,6.116818848260683,-16121.64,0,0
TX14315,2394.46,Bank Transfer,20,4,84184.31,5614.02,Hyderabad,Laptop,53,0,0,2,0.0284,0,7.781330558208394,78570.29,0,0
TXF20466,156323.63,Wallet,0,2,128564.22,3333.24,Jaipur,Mobile,1,1,1,24,1.2159,1,11.959690085568793,125230.98,1,0
TX12099,1971.29,Bank Transfer,15,1,97769.07,3977.85,Pune,Desktop,89,0,0,2,0.0202,0,7.586950583174021,93791.22,0,0
TX13599,1194.16,Wallet,12,2,41424.44,25443.92,Lucknow,Desktop,80,0,0,1,0.0288,0,7.086035346616372,15980.520000000004,0,0
TX14121,1314.27,UPI,11,1,54668.55,34170.7,Lucknow,Mobile,107,0,0,1,0.024,0,7.181797246729859,20497.850000000006,0,0
TX10029,863.33,UPI,14,3,91666.19,12539.68,Hyderabad,Laptop,30,0,0,1,0.0094,0,6.761954640326288,79126.51000000001,0,0
TX10065,1525.72,E-commerce,9,3,11346.36,18449.02,Hyderabad,Desktop,28,0,0,2,0.1345,0,7.330876922327742,-7102.66,0,0
TX10838,1633.66,E-commerce,16,3,40756.15,33739.1,Delhi,Mobile,185,0,0,3,0.0401,0,7.399190110636195,7017.050000000003,0,0
TX13906,1770.95,Bank Transfer,13,0,32027.85,18022.28,Delhi,Mobile,102,0,0,4,0.0553,0,7.4798359140626385,14005.57,0,0
TX13773,1117.87,Wallet,9,0,35706.45,5368.22,Lucknow,Mobile,112,0,0,4,0.0313,0,7.020074526406679,30338.229999999996,0,0
TXF20135,27460.8,Card,3,6,46076.31,4000.79,Hyderabad,Desktop,11,1,0,2,0.596,1,10.220551227064412,42075.52,1,1
TX13161,426.59,Wallet,12,5,87899.92,18017.63,Chennai,Mobile,28,0,0,4,0.0049,0,6.05816479253505,69882.29,0,1
TX12659,1085.9,Card,9,0,15882.82,35525.66,Hyderabad,Desktop,19,0,0,4,0.0684,0,6.9910848865691415,-19642.840000000004,0,0
TXF20115,7770.06,E-commerce,23,5,45997.96,2618.49,Pune,Mobile,28,1,0,3,0.1689,1,8.958161856193462,43379.47,1,1
TXF20128,26688.25,E-commerce,4,4,235924.4,934.17,Hyderabad,Mobile,16,1,0,4,0.1131,1,10.192016141591607,234990.22999999998,1,0
TX12451,669.87,UPI,12,2,44817.7,39121.89,Kolkata,Laptop,174,0,0,1,0.0149,0,6.508575377515987,5695.809999999998,0,0
TX12846,1823.04,Card,12,1,74113.46,4497.52,Delhi,Desktop,35,0,0,3,0.0246,0,7.508809100218383,69615.94,0,0
TX11144,1592.94,Wallet,19,0,92076.74,40888.65,Mumbai,Mobile,38,0,0,4,0.0173,0,7.373964217487385,51188.090000000004,0,0
TX13078,631.89,Card,20,3,91898.74,44650.52,Bengaluru,Mobile,138,0,0,1,0.0069,0,6.450296631372029,47248.22000000001,0,0
TX11103,455.85,Wallet,18,2,22717.48,9223.61,Chennai,Mobile,39,0,0,1,0.0201,0,6.12435510944463,13493.869999999999,0,0
TX10168,2557.38,Card,12,6,42085.66,21930.0,Mumbai,Laptop,38,0,0,1,0.0608,0,7.847129524663267,20155.660000000003,0,1
TX11670,2879.25,Bank Transfer,13,2,57586.96,6369.61,Delhi,Mobile,171,0,0,3,0.05,0,7.965632374918163,51217.35,0,0
TX12570,267.12,Card,17,1,52002.41,8616.8,Ahmedabad,Desktop,125,0,0,1,0.0051,0,5.591434641489757,43385.61,0,0
TX12377,617.42,Card,18,6,67312.07,4027.06,Mumbai,Mobile,64,0,0,2,0.0092,0,6.427167838276756,63285.01000000001,0,1
TX14395,759.97,Card,11,0,82303.51,32289.63,Mumbai,Desktop,147,0,0,4,0.0092,0,6.634593935271222,50013.87999999999,0,0
TX14257,950.54,Card,20,1,93520.85,22397.03,Mumbai,Mobile,193,0,0,1,0.0102,0,6.858081724738565,71123.82,0,0
TX13862,465.67,UPI,10,1,36662.45,45741.79,Mumbai,Mobile,193,0,0,2,0.0127,0,6.1456223697668735,-9079.340000000004,0,0
TX10023,2393.32,E-commerce,16,4,33836.06,16326.65,Bengaluru,Mobile,143,0,0,2,0.0707,0,7.780854544687302,17509.409999999996,0,0
TX12633,1469.4,Bank Transfer,18,6,88890.14,38163.67,Mumbai,Mobile,187,0,0,1,0.0165,0,7.293289751601423,50726.47,0,1
TX13340,806.46,Wallet,15,5,52487.59,29479.1,Bengaluru,Desktop,112,0,0,1,0.0154,0,6.693893518266168,23008.489999999998,0,1
TX12215,604.18,Bank Transfer,19,4,86607.01,5589.88,Chennai,Mobile,68,0,0,4,0.007,0,6.405525934441504,81017.12999999999,0,0
TX13682,355.25,Bank Transfer,19,3,62894.28,17950.07,Chennai,Mobile,53,0,0,1,0.0056,0,5.8756327315828605,44944.21,0,0
TXF20224,25443.26,Bank Transfer,16,5,51816.04,4358.18,Chennai,Mobile,30,0,1,5,0.491,1,10.144245456265587,47457.86,0,1
TX11907,1244.36,Bank Transfer,10,1,39425.34,42172.93,Jaipur,Mobile,85,0,0,2,0.0316,0,7.127179923727594,-2747.590000000004,0,0
TX10084,590.95,UPI,9,0,58629.82,1893.52,Chennai,Laptop,56,0,0,1,0.0101,0,6.383422171857645,56736.3,0,0
TX10227,2031.83,Bank Transfer,9,4,64988.78,16811.79,Chennai,Mobile,78,0,0,4,0.0313,0,7.61718418986636,48176.99,0,0
TX10296,8502.09,UPI,11,2,42259.36,38568.52,Bengaluru,Desktop,30,0,0,2,0.2012,0,9.048184905829366,3690.840000000004,0,0
TX11001,664.78,Bank Transfer,10,5,86234.69,44139.74,Hyderabad,Desktop,15,0,0,1,0.0077,0,6.500959285638977,42094.950000000004,0,1
TX12138,1251.78,UPI,14,3,94766.57,41764.34,Delhi,Mobile,35,0,0,3,0.0132,0,7.133120360869007,53002.23000000001,0,0
TX10711,3390.54,Card,16,0,67182.1,45673.02,Delhi,Desktop,7,0,0,4,0.0505,0,8.129039374507943,21509.08000000001,0,0
TX12801,335.84,E-commerce,13,5,25175.16,37331.94,Chennai,Desktop,130,0,0,1,0.0133,0,5.819608040161792,-12156.780000000002,0,1
TX12527,840.45,Card,10,2,21538.31,22648.27,Ahmedabad,Desktop,114,0,0,4,0.039,0,6.735126594159082,-1109.9599999999991,0,0
TX13752,523.25,UPI,14,3,92964.68,3975.85,Delhi,Mobile,122,0,0,3,0.0056,0,6.261968669782029,88988.82999999999,0,0
TX13321,1103.29,E-commerce,13,6,66365.73,23814.8,Bengaluru,Desktop,49,0,0,2,0.0166,0,7.006957873501806,42550.92999999999,0,1
TX13181,2689.07,Bank Transfer,17,1,39509.09,45233.25,Hyderabad,Laptop,34,0,0,1,0.0681,0,7.897322494562143,-5724.1600000000035,0,0
TX14183,1652.48,Card,19,4,31102.84,39738.18,Chennai,Mobile,15,0,0,2,0.0531,0,7.410637436793812,-8635.34,0,0
TX11615,1173.02,Bank Transfer,20,3,30615.27,23523.4,Ahmedabad,Mobile,170,0,0,4,0.0383,0,7.068189036018063,7091.869999999999,0,0
TX13024,1195.58,E-commerce,12,0,65967.76,48647.43,Pune,Mobile,85,0,0,1,0.0181,0,7.087222766793185,17320.329999999994,0,0
TX11413,947.61,Bank Transfer,16,1,26177.32,15915.44,Kolkata,Tablet,148,0,0,3,0.0362,0,6.854997755239065,10261.88,0,0
TX10763,971.64,UPI,14,2,85745.04,44665.2,Bengaluru,Mobile,183,0,0,2,0.0113,0,6.880014024000412,41079.84,0,0
TX10655,1075.61,E-commerce,17,3,68855.28,16322.69,Mumbai,Mobile,127,0,0,2,0.0156,0,6.9815724945845545,52532.59,0,0
TXF20297,3311.69,Bank Transfer,16,1,17214.78,4669.77,Kolkata,Desktop,12,0,0,22,0.1924,1,8.105515827140108,12545.009999999998,0,0
TX13849,2534.02,Wallet,12,6,41624.61,5143.72,Hyderabad,Mobile,122,0,0,2,0.0609,0,7.837956805540513,36480.89,0,1
TX14153,336.16,Wallet,11,0,46297.17,20603.91,Mumbai,Mobile,96,0,0,1,0.0073,0,5.820557595129282,25693.26,0,0
TX10468,1311.77,E-commerce,14,4,6131.32,31694.25,Bengaluru,Mobile,103,0,0,2,0.2139,0,7.179894687595211,-25562.93,0,0
TX10157,2952.04,Bank Transfer,14,3,9061.4,43249.65,Mumbai,Mobile,11,0,0,3,0.3258,0,7.990590427199084,-34188.25,0,0
TX11295,4615.1,UPI,11,5,7198.04,15857.08,Kolkata,Desktop,100,0,0,4,0.6412,0,8.437305471731442,-8659.04,0,1
TX10497,1228.28,Wallet,12,2,10596.16,37787.99,Kolkata,Mobile,106,0,0,4,0.1159,0,7.114183911119325,-27191.829999999998,0,0
TXF20240,26033.24,Card,19,0,90427.15,4574.08,Lucknow,Desktop,11,0,1,5,0.2879,1,10.167167873697903,85853.06999999999,0,0
TX12940,657.13,Bank Transfer,8,3,27318.09,18837.38,Bengaluru,Laptop,60,0,0,2,0.0241,0,6.489402480200311,8480.71,0,0
TX13456,917.43,UPI,18,1,95672.22,17181.13,Pune,Desktop,143,0,0,3,0.0096,0,6.822665690537022,78491.09,0,0
TX10373,1332.31,Bank Transfer,20,6,23036.23,1653.59,Delhi,Tablet,105,0,0,3,0.0578,0,7.195419851280791,21382.64,0,1
TX10079,1717.5,Wallet,10,1,37986.87,14750.23,Ahmedabad,Laptop,141,0,0,1,0.0452,0,7.449207096289888,23236.640000000003,0,0
TX11553,1463.4,Wallet,15,0,98723.31,25948.72,Lucknow,Mobile,192,0,0,4,0.0148,0,7.289200881246082,72774.59,0,0
TX11669,928.18,Wallet,13,4,8658.41,10034.76,Mumbai,Mobile,77,0,0,2,0.1072,0,6.834302476773092,-1376.3500000000004,0,0
TX12131,1572.61,Card,18,0,54940.94,20046.01,Pune,Laptop,69,0,0,2,0.0286,0,7.361127621909766,34894.93000000001,0,0
TX14439,1047.89,Wallet,12,3,83770.63,22661.74,Bengaluru,Mobile,148,0,0,4,0.0125,0,6.9554877411247995,61108.89,0,0
TX10465,916.25,Card,15,2,19469.37,26305.65,Ahmedabad,Mobile,190,0,0,4,0.0471,0,6.821380063235392,-6836.2800000000025,0,0
TX10248,488.0,UPI,14,0,54458.86,46000.8,Pune,Desktop,99,0,0,3,0.009,0,6.192362489474872,8458.059999999998,0,0
TX10931,1159.19,Wallet,10,3,9179.76,47576.02,Bengaluru,Mobile,92,0,0,2,0.1263,0,7.056339063791233,-38396.259999999995,0,0
TX11335,575.95,Card,18,5,21204.2,19396.68,Pune,Mobile,175,0,0,1,0.0272,0,6.3577556076406765,1807.5200000000004,0,1
TXF20024,133194.32,Bank Transfer,18,2,66597.16,2950.47,Chennai,Desktop,14,1,0,1,2.0,1,11.799571901336037,63646.69,0,0
TX11338,1113.27,Card,19,6,7786.39,3650.67,Hyderabad,Mobile,50,0,0,4,0.143,0,7.0159547609588255,4135.72,0,1
TX11406,225.3,Bank Transfer,12,5,43258.22,32296.41,Ahmedabad,Mobile,52,0,0,3,0.0052,0,5.421861552639491,10961.810000000001,0,1
TX11090,4407.58,Wallet,15,1,62049.19,33393.9,Bengaluru,Desktop,113,0,0,1,0.071,0,8.391307921124369,28655.29,0,0
TX14209,580.72,Bank Transfer,19,1,57617.45,40729.12,Hyderabad,Desktop,156,0,0,4,0.0101,0,6.365989232309509,16888.329999999994,0,0
TX10742,1827.02,UPI,20,6,46150.93,15186.43,Delhi,Desktop,111,0,0,3,0.0396,0,7.510988692873281,30964.5,0,1
TX12323,1212.84,Bank Transfer,8,4,12994.86,36058.75,Delhi,Desktop,40,0,0,1,0.0933,0,7.101544167216986,-23063.89,0,0
TX13601,1500.36,Card,14,4,71080.7,5678.84,Pune,Desktop,199,0,0,4,0.0211,0,7.314126642983017,65401.86,0,0
TX12123,878.3,Card,9,3,95666.85,23811.03,Pune,Mobile,154,0,0,4,0.0092,0,6.779126136384956,71855.82,0,0
TX12094,378.2,Wallet,13,4,60479.8,3679.59,Pune,Mobile,137,0,0,4,0.0063,0,5.938063770380866,56800.21000000001,0,0
TX10240,7758.94,Bank Transfer,20,5,10060.9,43618.98,Delhi,Tablet,116,0,0,4,0.7712,0,8.95672988118861,-33558.08,0,1
TX12351,282.6,Bank Transfer,9,3,8070.54,40634.63,Delhi,Mobile,176,0,0,2,0.035,0,5.647564794657972,-32564.089999999997,0,0
TX11370,3633.48,Bank Transfer,19,1,20198.53,23639.82,Pune,Tablet,29,0,0,3,0.1799,0,8.198221326089355,-3441.290000000001,0,0
TX11057,3207.29,Card,19,4,66983.35,30005.18,Kolkata,Desktop,86,0,0,4,0.0479,0,8.073493363903156,36978.170000000006,0,0
TXF20316,13052.94,E-commerce,9,0,198465.62,4462.13,Delhi,Laptop,21,1,0,14,0.0658,1,9.476845282892276,194003.49,0,0
TX10199,1720.51,Bank Transfer,20,1,26693.3,8118.0,Hyderabad,Tablet,42,0,0,2,0.0645,0,7.450957091649305,18575.3,0,0
TX12280,861.97,Wallet,12,1,67403.54,33322.64,Bengaluru,Laptop,84,0,0,3,0.0128,0,6.760379928022653,34080.899999999994,0,0
TXF20249,54114.05,E-commerce,13,6,94790.31,1.55,Jaipur,Mobile,3,1,1,1,0.5709,1,10.898867614687058,94788.76,0,1
TX12220,1175.69,E-commerce,20,1,29984.63,2448.35,Delhi,Mobile,134,0,0,4,0.0392,0,7.070460691090949,27536.280000000002,0,0
TXF20271,9306.92,UPI,16,6,53622.69,2843.64,Mumbai,Mobile,0,1,1,23,0.1736,1,9.138620929628049,50779.05,0,1
TX12819,338.02,UPI,20,2,70696.69,36072.57,Hyderabad,Laptop,27,0,0,4,0.0048,0,5.8260591026903406,34624.12,0,0
TX13150,2759.49,Bank Transfer,16,5,69832.95,47122.49,Bengaluru,Mobile,196,0,0,2,0.0395,0,7.923163479185388,22710.46,0,1
TX14256,4155.56,Wallet,17,5,84720.39,36851.06,Hyderabad,Tablet,92,0,0,2,0.0491,0,8.332443088088898,47869.33,0,1
TX13107,827.43,UPI,14,6,89948.76,35954.71,Bengaluru,Mobile,182,0,0,1,0.0092,0,6.719532343254888,53994.049999999996,0,1
TX11973,7042.64,UPI,17,0,13870.98,27629.23,Mumbai,Mobile,158,0,0,4,0.5077,0,8.85988036098469,-13758.25,0,0
TX11375,463.17,Wallet,17,4,74098.18,30544.39,Mumbai,Laptop,124,0,0,3,0.0063,0,6.14025086443609,43553.78999999999,0,0
TX13968,1673.09,Card,19,6,20455.11,25623.19,Hyderabad,Desktop,124,0,0,3,0.0818,0,7.423025013045079,-5168.079999999998,0,1
TX14062,459.29,UPI,16,0,97595.56,36389.39,Bengaluru,Desktop,155,0,0,2,0.0047,0,6.131856725625224,61206.17,0,0
TX14445,553.12,Bank Transfer,8,1,53278.4,30022.04,Pune,Mobile,28,0,0,3,0.0104,0,6.317381269789679,23256.36,0,0
TX13557,1432.49,UPI,20,0,4420.4,39310.53,Chennai,Laptop,95,0,0,2,0.3241,0,7.2678673093660615,-34890.13,0,0
TX10964,804.56,UPI,18,5,31258.64,25181.3,Delhi,Mobile,61,0,0,4,0.0257,0,6.69153768773866,6077.34,0,1
TX10179,1641.29,Wallet,9,0,18950.33,14001.66,Mumbai,Desktop,38,0,0,1,0.0866,0,7.403846888303483,4948.670000000002,0,0
TX13698,2499.09,Card,12,4,63908.0,27507.64,Lucknow,Mobile,55,0,0,1,0.0391,0,7.824082010208308,36400.36,0,0
TX13821,1897.94,Bank Transfer,14,5,24911.76,39665.82,Bengaluru,Mobile,129,0,0,4,0.0762,0,7.549051114736516,-14754.060000000001,0,1
TXF20378,34575.79,Card,2,3,88492.91,759.81,Ahmedabad,Desktop,2,1,1,5,0.3907,1,10.450937926704068,87733.1,1,0
TX13899,1051.55,Card,10,1,10636.78,37525.76,Kolkata,Mobile,58,0,0,1,0.0989,0,6.958971070366407,-26888.980000000003,0,0
TX14487,899.35,Wallet,15,1,19864.02,38275.66,Ahmedabad,Mobile,96,0,0,1,0.0453,0,6.802783576615514,-18411.640000000003,0,0
TX13238,964.82,E-commerce,19,2,6099.52,35285.15,Lucknow,Desktop,108,0,0,2,0.1582,0,6.872977481446193,-29185.63,0,0
TX12974,2013.9,E-commerce,9,0,55446.74,40470.82,Mumbai,Desktop,151,0,0,2,0.0363,0,7.60832484535772,14975.919999999998,0,0
TX13580,2811.86,Card,9,0,31131.5,28580.11,Pune,Desktop,51,0,0,1,0.0903,0,7.941957038321375,2551.3899999999994,0,0
TX12887,351.32,Bank Transfer,9,3,75868.12,5608.67,Mumbai,Desktop,177,0,0,3,0.0046,0,5.864539853534315,70259.45,0,0
TX12575,1290.37,Wallet,19,1,80212.27,35234.81,Mumbai,Mobile,195,0,0,4,0.0161,0,7.163458949320085,44977.46000000001,0,0
TX11419,6438.33,E-commerce,19,6,86776.74,43084.76,Delhi,Laptop,80,0,0,3,0.0742,0,8.770179776419067,43691.98,0,1
TX13907,1262.11,Wallet,16,5,73173.59,30604.15,Delhi,Laptop,55,0,0,3,0.0172,0,7.141332212778121,42569.439999999995,0,1
TXF20173,37840.76,Wallet,16,5,48657.12,3739.46,Kolkata,Mobile,11,0,1,5,0.7777,1,10.541168533712089,44917.66,0,1
TXF20402,30778.57,Bank Transfer,1,5,65805.57,987.9,Jaipur,Mobile,23,1,1,11,0.4677,1,10.334606437184826,64817.670000000006,1,1
TX11860,1618.0,Wallet,13,0,57013.38,17892.29,Pune,Laptop,128,0,0,2,0.0284,0,7.389563953677635,39121.09,0,0
TX10008,1157.51,Card,13,0,60602.76,2417.88,Hyderabad,Desktop,179,0,0,1,0.0191,0,7.0548899756867085,58184.880000000005,0,0
TX12894,468.4,Wallet,9,6,30568.92,14887.77,Bengaluru,Desktop,25,0,0,2,0.0153,0,6.151455283416923,15681.149999999998,0,1
TX12847,998.11,Bank Transfer,14,0,85706.75,36641.81,Mumbai,Desktop,72,0,0,2,0.0116,0,6.906864882696991,49064.94,0,0
TX13664,1201.81,E-commerce,20,3,46232.26,45859.38,Mumbai,Laptop,111,0,0,3,0.026,0,7.092415765013967,372.88000000000466,0,0
TX10144,3501.39,Bank Transfer,15,6,49228.23,31415.15,Bengaluru,Desktop,124,0,0,3,0.0711,0,8.161200871579506,17813.08,0,1
TX12104,719.66,Wallet,20,0,77711.7,13352.82,Delhi,Desktop,88,0,0,3,0.0093,0,6.580167458794454,64358.88,0,0
TX13143,2721.54,Card,8,1,80144.01,16700.38,Bengaluru,Desktop,85,0,0,1,0.034,0,7.909320547077512,63443.62999999999,0,0
TX10841,1592.54,Card,14,5,72510.81,3203.94,Hyderabad,Laptop,166,0,0,4,0.022,0,7.373713235519123,69306.87,0,1
TX11128,1897.72,Bank Transfer,20,4,94847.62,19427.39,Pune,Mobile,197,0,0,4,0.02,0,7.548935253916829,75420.23,0,0
TX10151,691.23,UPI,9,5,91828.48,41144.61,Delhi,Mobile,153,0,0,3,0.0075,0,6.539918270337213,50683.869999999995,0,1
TX13591,896.73,Wallet,20,5,20553.46,37282.12,Hyderabad,Mobile,37,0,0,1,0.0436,0,6.799869354941021,-16728.660000000003,0,1
TX11052,1808.78,Wallet,20,5,61328.02,2762.07,Chennai,Mobile,25,0,0,4,0.0295,0,7.500960569911115,58565.95,0,1
TX11590,455.37,UPI,14,3,94304.4,13850.78,Kolkata,Laptop,157,0,0,3,0.0048,0,6.123303884013292,80453.62,0,0
TX13008,661.83,Wallet,15,3,14180.64,33823.0,Mumbai,Mobile,198,0,0,3,0.0467,0,6.496518547050722,-19642.36,0,0
TX12029,2359.83,Card,12,4,43855.6,7006.04,Delhi,Mobile,169,0,0,1,0.0538,0,7.766768531104749,36849.56,0,0
TX13418,1619.34,UPI,8,2,96010.89,34704.0,Kolkata,Mobile,17,0,0,4,0.0169,0,7.390391282748639,61306.89,0,0
TX11807,1810.38,Wallet,13,5,65149.05,27192.73,Hyderabad,Tablet,98,0,0,1,0.0278,0,7.501844264696279,37956.32000000001,0,1
TX12696,1039.17,Wallet,9,3,77518.89,12987.39,Bengaluru,Desktop,136,0,0,1,0.0134,0,6.947139440315499,64531.5,0,0
TX13039,1322.67,Bank Transfer,15,5,74418.53,5102.04,Jaipur,Desktop,107,0,0,3,0.0178,0,7.188163460717337,69316.49,0,1
TX10472,405.41,Bank Transfer,15,6,78567.7,13812.82,Chennai,Laptop,45,0,0,1,0.0052,0,6.007362502260754,64754.88,0,1
TX13289,453.13,UPI,10,1,76230.12,30564.61,Ahmedabad,Tablet,81,0,0,2,0.0059,0,6.118383500665175,45665.509999999995,0,0
TX14074,698.92,Card,19,3,51933.23,43165.04,Delhi,Desktop,177,0,0,2,0.0135,0,6.550966042798009,8768.190000000002,0,0
TX13496,924.14,UPI,15,0,8664.0,5028.58,Pune,Mobile,6,0,0,1,0.1067,0,6.829945077411316,3635.42,0,0
TX10279,2650.87,Wallet,17,0,45459.61,1221.22,Bengaluru,Mobile,40,0,0,3,0.0583,0,7.88302033049641,44238.39,0,0
TX11741,1378.35,Bank Transfer,19,2,25298.98,24769.1,Bengaluru,Desktop,100,0,0,2,0.0545,0,7.229367652696326,529.880000000001,0,0
TXF20124,23879.93,UPI,2,1,15803.02,2632.58,Chennai,Desktop,9,1,0,1,1.5111,1,10.08083551147183,13170.44,1,0
TX12886,1132.03,Bank Transfer,13,3,17291.19,33581.64,Pune,Tablet,165,0,0,1,0.0655,0,7.032650739053453,-16290.45,0,0
TX11941,842.12,UPI,18,6,66113.81,41243.4,Mumbai,Desktop,139,0,0,2,0.0127,0,6.737109296625682,24870.409999999996,0,1
TX10100,1564.08,Bank Transfer,19,3,49244.38,4981.92,Delhi,Mobile,189,0,0,2,0.0318,0,7.355692219878625,44262.46,0,0
TX12804,7287.61,Wallet,19,3,48076.24,9998.79,Mumbai,Desktop,102,0,0,1,0.1516,0,8.894068134668823,38077.45,0,0
TX13570,343.44,E-commerce,12,1,86249.87,49930.71,Pune,Tablet,112,0,0,2,0.004,0,5.841919909827965,36319.159999999996,0,0
TX13684,746.82,E-commerce,14,6,40651.24,49163.75,Delhi,Tablet,25,0,0,1,0.0184,0,6.617162307304385,-8512.510000000002,0,1
